9.15.2019 (Sun),贈り物を送る,お世話になった人や、大切な人に贈り物を送ったりしたい。連絡できてない人に連絡したりでもいいかも。そう言う時間。,none, community
9.10.2019 (Tue), We will eat dinner at the rooftops, 屋上で花火したい。あと、あっちに５０の質問もしたい。,none, community
9.8.2019 (Sun), 4 Silent Birds, フィッティングパーティー, https://www.4silentbirds.com/event2019, shop
8.31.2019 (Sat) open18:00 start19:00-, 村山政二朗2019関西ツアー 大阪編, by 村山政二朗 × 江崎將史 | 米子匡司 × 天気 a.k.a 船川翔司,none, live
8.19-8.31.2019, Tongue finishes back at the root of itself, by Ferran Pla | Ana Martinez Fernandez, /2f/finishes.html, show
8.17.2019 (Sat), Bon Dance, *盆おどりに行きます。,none, members
8.14-9-15.2019, Airbnb Flight Simulator Room, by Laurel Schwulst, /2f/greenpeople.html, residency
8.11-8.12.2019, 京丹後でキャンプ, ペフのメンバーでキャンプに行きます。,none, members
8.6.2019 (Tue) 7pm-, ローレルさんとお料理会, *優雅で素敵な時間を過ごしたい。ウォーターテイスティングもやる予定。,none, community
8.4.2019 (Sun), Bon Dance, *盆おどりに行きます。,none, community
7.29-8.10.2019, Green People, by Laurel Schwulst | Elliott Cost, /2f/greenpeople.html, show
7.29.2019 (Mon) 7:30pm-, 癲狂科学実験, 講師：斎藤誠,none, workshop
7.24-7.31.2019, residency for Green People, by Elliott Cost, /2f/greenpeople.html, residency
7.24-7.27.2019, さくら, by 籠本 真一, /2f/sakura.html, show
7.23-7.27.2019, 造り物 Tsukurimono, この展覧会では、造り物という文化と、その文化を絶やさず守る彼の想いを紹介します。, /2f/tsukurimono.html, show
7.19-8.13.2019, residency for Green People, by Laurel Schwulst, /2f/greenpeople.html, residency
7.19.2019 (Fri) 3:30pm-, Fancy Hotel Tour, *午後8時に、ペフ出発,none, community
7.14.2019 (Sun) 1pm-7pm, 古着詰め放題 夏, "by Beauty spot (Pure Voyage, abi, tbpj)",none, shop
7.12.2019 (Fri) 8pm-, 靴下ハギレの会, by sarakona_at_last,none, community
7.9.2019 (Tue) 8pm-, 結果発表　"live performance, by Luminous Kudler | Jero Route 66", /2f/luminous_66.html, live
7.9.2019 (Tue) 1pm-, one day trip for the field recordings, "by Luminous Kudler | Jero Route 66", /2f/luminous_66.html, workshop
7.8.2019 (Mon) 7pm-, 世界中の言葉を使う, 中学英語を勉強する会,none, community
6.22.2019 (Sat) 7:30pm-, concert, 川口貴大 | 古池寿浩 | 船川翔司 | 江崎將史, /jp/show/062219.html, live
